#F1_score	percentage
0.0	0.00017029972752
0.010101010101	0.00017029972752
0.020202020202	0.00017029972752
0.030303030303	0.000340599455041
0.040404040404	0.000340599455041
0.0505050505051	0.000340599455041
0.0606060606061	0.000340599455041
0.0707070707071	0.000340599455041
0.0808080808081	0.000340599455041
0.0909090909091	0.000340599455041
0.10101010101	0.000340599455041
0.111111111111	0.000510899182561
0.121212121212	0.000510899182561
0.131313131313	0.000510899182561
0.141414141414	0.000510899182561
0.151515151515	0.000510899182561
0.161616161616	0.000510899182561
0.171717171717	0.000510899182561
0.181818181818	0.000510899182561
0.191919191919	0.000510899182561
0.20202020202	0.000510899182561
0.212121212121	0.000510899182561
0.222222222222	0.00255449591281
0.232323232323	0.00476839237057
0.242424242424	0.00732288828338
0.252525252525	0.00987738419619
0.262626262626	0.0122615803815
0.272727272727	0.0156675749319
0.282828282828	0.0192438692098
0.292929292929	0.0228201634877
0.30303030303	0.033719346049
0.313131313131	0.0568801089918
0.323232323232	0.116995912807
0.333333333333	0.116995912807
0.343434343434	0.208446866485
0.353535353535	0.282186648501
0.363636363636	0.315565395095
0.373737373737	0.354734332425
0.383838383838	0.37091280654
0.393939393939	0.395435967302
0.40404040404	0.483651226158
0.414141414141	0.531846049046
0.424242424242	0.623297002725
0.434343434343	0.767540871935
0.444444444444	0.972752043597
0.454545454545	1.0
0.464646464646	1.0
0.474747474747	1.0
0.484848484848	1.0
0.494949494949	1.0
0.505050505051	1.0
0.515151515152	1.0
0.525252525253	1.0
0.535353535354	1.0
0.545454545455	1.0
0.555555555556	1.0
0.565656565657	1.0
0.575757575758	1.0
0.585858585859	1.0
0.59595959596	1.0
0.606060606061	1.0
0.616161616162	1.0
0.626262626263	1.0
0.636363636364	1.0
0.646464646465	1.0
0.656565656566	1.0
0.666666666667	1.0
0.676767676768	1.0
0.686868686869	1.0
0.69696969697	1.0
0.707070707071	1.0
0.717171717172	1.0
0.727272727273	1.0
0.737373737374	1.0
0.747474747475	1.0
0.757575757576	1.0
0.767676767677	1.0
0.777777777778	1.0
0.787878787879	1.0
0.79797979798	1.0
0.808080808081	1.0
0.818181818182	1.0
0.828282828283	1.0
0.838383838384	1.0
0.848484848485	1.0
0.858585858586	1.0
0.868686868687	1.0
0.878787878788	1.0
0.888888888889	1.0
0.89898989899	1.0
0.909090909091	1.0
0.919191919192	1.0
0.929292929293	1.0
0.939393939394	1.0
0.949494949495	1.0
0.959595959596	1.0
0.969696969697	1.0
0.979797979798	1.0
0.989898989899	1.0
1.0	1.0
